nome_cliente_12;codice_articolo_12;articolo_colore_12;unita_di_misura_12;quantita_12;imponibile_12
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61018;140 LUCIDO RIT 200 S PA 6 - ROSSO FUXIA PIRI;KG;30,710000038147;476,01
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61020;140 LUCIDO RIT 200 S PA 6 - ROSA CHIARO PIRI;KG;29,5599999427795;458,18
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61022;140 LUCIDO RIT 200 S PA 6 - BEIGE PIRI;KG;28,7699995040894;445,94
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61000;70 LUCIDO RIT PA 6 - CANDIDO;KG;364,870000362396;5418,33
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61002;70 LUCIDO RIT PA 6 - ROSA BABY GS22;KG;28,2699995040894;419,81
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61008;70 LUCIDO RIT PA 6 - NERO;KG;139,219998836517;1624,28
GLORIA MED SPA;;;KG;171,830001831055;-2242,38
GLORIA MED SPA;;;;;
GLORIA MED SPA;PF0029020/20X661000;20/2 ELAS RIT PA 66 - BEIGE 36;KG;616,180001497269;11799,87
GLORIA MED SPA;PF0029030/10A661000;30/1 ELAS APE PA 66 - BEIGE 36;KG;307,410000324249;3443,02
GLORIA MED SPA;PF0029030/10A661014;30/1 ELAS APE PA 66 - NERO 60;KG;67,0999994277954;785,07
GLORIA MED SPA;PF0029030/10X661000;30/1 ELAS RIT PA 66 - BEIGE 36;KG;44,650000333786;877,39
GLORIA MED SPA;PF0029030/20X661000;30/2 ELAS RIT PA 66 - BEIGE 36;KG;113,079998552799;1826,27
GLORIA MED SPA;PF0029030/20X661014;30/2 ELAS RIT PA 66 - NERO 60;KG;36,3200001716614;586,56
GLORIA MED SPA;PF0029033200A660001;33/20/1 ELAS APE FLEXY PA 66 - ;KG;93,4500026702881;672,84
GLORIA MED SPA;PF0029033200A661000;33/20/1 ELAS APE FLEXY PA 66 - BEIGE 36;KG;1493,4100047648;19272,63
GLORIA MED SPA;PF0029033200A661014;33/20/1 ELAS APE FLEXY PA 66 - NERO 60;KG;85,9399988651276;1121,53
GLORIA MED SPA;PF0029040/20X661000;40/2 ELAS RIT PA 66 - BEIGE 36;KG;76,3499994874001;1057,44
GLORIA MED SPA;PF0029040/20X661004;40/2 ELAS RIT PA 66 - GREGGIO TINTO;KG;43,7000007629395;605,24
GLORIA MED SPA;PF0029060/20X661001;60/2 ELAS RIT PA 66 - BEIGE 36;KG;562,219998598099;5931,45
GLORIA MED SPA;PF0029070/10X661000;70/1 ELAS RIT PA 66 - BEIGE 36;KG;1090,11000216007;12045,73
GLORIA MED SPA;PF0029070/20X661001;70/2 ELAS RIT PA 66 - BEIGE 36;KG;977,460002541542;9725,74
GLORIA MED SPA;PF0029070/20X661003;70/2 ELAS RIT PA 66 - BEIGE 060;KG;44,8800003528595;446,57
GLORIA MED SPA;PF0029070/20X661005;70/2 ELAS RIT PA 66 - CANDIDO;KG;41,9900002479553;417,81
GLORIA MED SPA;PF0029070/20X661006;70/2 ELAS RIT PA 66 - NERO 60;KG;36,4899997711182;363,08
GLORIA MED SPA;PF0029100/20X661001;100/2 ELAS RIT PA 66 - BEIGE 36;KG;634,659996509552;6219,67
GLORIA MED SPA;PF0029333410A661000;33/34/1 APE FLEXY PA 66 - BEIGE 36;KG;205,320000648499;3683,19
GLORIA MED SPA;PF0029443410X661000;44/34/1 ELAS RIT PA 66 - BEIGE 36;KG;58,7199993133545;1174,4
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;;;;;
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;PF0031227020X661002;LY+Pa66 (22+156/sz- 80g tinto) 163 Dtx- BLUETTE;KG;62,7900009155273;931,73
IN LINE DI SMUSSI CHRISTIAN & C. S.N.C.;PF0031227020X661003;LY+Pa66 (22+156/sz- 80g tinto) 163 Dtx - BLU SKIN;KG;42,3699989318848;633,64
MICO SPORT SPA;;;KG;64,9799995422363;-649,8
MICO SPORT SPA;;;;;
MICO SPORT SPA;PF0034040/20X661006;40/2 ELAS RIT PA 66 - FUMO 107;KG;138,610000133514;1843,52
MICO SPORT SPA;PF0034040/20X661015;40/2 ELAS RIT PA 66 - GRIGIO M;KG;48,5999994277954;646,37
MICO SPORT SPA;PF0034040/20X661032;40/2 ELAS RIT PA 66 - GRIGIO 431/C;KG;48,2399995326996;641,6
MICO SPORT SPA;PF0034040/20X661078;40/2 ELAS RIT PA 66 - CORAL 13;KG;18,9899997711182;252,57
MICO SPORT SPA;PF0034040/20X661079;40/2 ELAS RIT PA 66 - CILIEGIA 13;KG;21,9999995231628;292,6
MICO SPORT SPA;PF0034040/20X661080;40/2 ELAS RIT PA 66 - ALLUMINIO 13;KG;21,4700002670288;285,55
MICO SPORT SPA;PF0034040/20X661081;40/2 ELAS RIT PA 66 - GARDENIA 13;KG;20,0400004386902;266,53
MICO SPORT SPA;PF0034040/20X661082;40/2 ELAS RIT PA 66 - GHIACCIAIO 13;KG;22,1700005531311;294,86
MICO SPORT SPA;PF0034070/20X661004;70/2 ELAS RIT PA 66 - GRAFITE 9240;KG;90,3799982070923;876,67
MICO SPORT SPA;PF0034070/20X661006;70/2 ELAS RIT PA 66 - FUMO 107;KG;89,1599998474121;864,85
MICO SPORT SPA;PF0034070/20X661009;70/2 ELAS RIT PA 66 - CANDIDO;KG;83,7400003671646;812,29
MICO SPORT SPA;PF0034070/20X661015;70/2 ELAS RIT PA 66 - GRIGIO M;KG;400,149999141693;3881,48
MICO SPORT SPA;PF0034070/20X661016;70/2 ELAS RIT PA 66 - BLU UNIVERSO;KG;73,2599997520447;710,62
MICO SPORT SPA;PF0034070/20X661019;70/2 ELAS RIT PA 66 - ARGENTO 4;KG;39,3499994277954;381,69
MICO SPORT SPA;PF0034070/20X661020;70/2 ELAS RIT PA 66 - GRIGIO PELTRO;KG;239,209998607635;2320,36
MICO SPORT SPA;PF0034070/20X661024;70/2 ELAS RIT PA 66 - GRIGIO ECO;KG;82,3500000238419;798,79
MICO SPORT SPA;PF0034070/20X661025;70/2 ELAS RIT PA 66 - GRIGIO MEDIO 7717;KG;252,839999556541;2452,57
MICO SPORT SPA;PF0034070/20X661030;70/2 ELAS RIT PA 66 - VERDE CIPRESSO 06;KG;40,4000000953674;391,87
MICO SPORT SPA;PF0034070/20X661033;70/2 ELAS RIT PA 66 - VERDE ARMY;KG;81,8099994659424;793,56
MICO SPORT SPA;PF0034070/20X661034;70/2 ELAS RIT PA 66 - AZZURRO 05;KG;40,2800002098083;390,72
MICO SPORT SPA;PF0034070/20X661065;70/2 ELAS RIT PA 66 - BLU A;KG;40,560001373291;393,43
MICO SPORT SPA;PF0034070/20X661069;70/2 ELAS RIT PA 66 - VIOLA 12;KG;37,9799995422363;368,41
MICO SPORT SPA;PF0034070/20X661075;70/2 ELAS RIT PA 66 - TABACCO;KG;46,4900002479553;450,96
MICO SPORT SPA;PF0034070/20X661077;70/2 ELAS RIT PA 66 - VERDE 08;KG;20,0600004196167;194,59
MICO SPORT SPA;PF0034070/20X661078;70/2 ELAS RIT PA 66 - CORAL 13;KG;19,7600002288818;191,68
MICO SPORT SPA;PF0034070/20X661079;70/2 ELAS RIT PA 66 - CILIEGIA 13;KG;21,2299995422363;205,93
MICO SPORT SPA;PF0034070/20X661080;70/2 ELAS RIT PA 66 - ALLUMINIO 13;KG;19,3999996185303;188,18
MICO SPORT SPA;PF0034070/20X661081;70/2 ELAS RIT PA 66 - GARDENIA 13;KG;20,1799998283386;195,75
MICO SPORT SPA;PF0034070/20X661082;70/2 ELAS RIT PA 66 - GHIACCIAIO 13;KG;20,5799999237061;199,63
MICO SPORT SPA;PF0034070/40X661022;70/4 ELAS RIT PA 66 - GRIGIO CAMP;KG;46,950001001358;492,99
