codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0598040/20XEX;50;29/09/2023;11/10/2023;12;
PF0507040/20XEX;11;02/10/2023;13/10/2023;11;
PF0034040/20XEX;40;10/10/2023;17/10/2023;7;
PF0034040/20XEX;20;02/10/2023;18/10/2023;16;
PF0008040/20XEX;40;12/10/2023;18/10/2023;6;
PF0457040/20XEX;80;19/10/2023;24/10/2023;5;
PF0457040/20XEX;80;19/10/2023;25/10/2023;6;
PF0371040/20XEX;40;19/10/2023;26/10/2023;7;
PF0008040/20XEX;35;26/10/2023;06/11/2023;11;
PF0349040/20XEX;45;07/11/2023;08/11/2023;1;
PF0034040/20XEX;40;31/10/2023;09/11/2023;9;
PF0349040/20XEX;45;07/11/2023;09/11/2023;2;
PF0034040/20XEX;40;31/10/2023;10/11/2023;10;
PF0034040/20XEX;20;31/10/2023;13/11/2023;13;
PF0034040/20XEX;20;08/11/2023;15/11/2023;7;
PF0724040/20XEX;50;29/11/2023;30/11/2023;1;
PF0371040/20XEX;50;29/11/2023;05/12/2023;6;
PF0371040/20XEX;50;29/11/2023;07/12/2023;8;
PF0580040/20XEX;100;06/12/2023;12/12/2023;6;
PF0741040/20XEX;40;07/12/2023;12/12/2023;5;
PF0725040/20XEX;80;11/12/2023;18/12/2023;7;
PF0725040/20XEX;80;11/12/2023;18/12/2023;7;
PF0673040/20XEX;40;08/01/2024;16/01/2024;8;
PF0673040/20XEX;40;08/01/2024;16/01/2024;8;
PF0673040/20XEX;40;08/01/2024;16/01/2024;8;
PF0457040/20XEX;100;19/12/2023;17/01/2024;29;
PF0673040/20XEX;40;08/01/2024;17/01/2024;9;
PF0673040/20XEX;15;08/01/2024;18/01/2024;10;
PF0673040/20XEX;15;08/01/2024;18/01/2024;10;
PF0457040/20XEX;50;19/12/2023;19/01/2024;31;
PF0673040/20XEX;40;08/01/2024;19/01/2024;11;
PF0673040/20XEX;40;08/01/2024;19/01/2024;11;
PF0152040/20XEX;30;09/01/2024;26/01/2024;17;
PF0034040/20XEX;40;22/12/2023;29/01/2024;38;
PF0371040/20XEX;50;29/11/2023;31/01/2024;63;
PF0371040/20XEX;100;29/11/2023;02/02/2024;65;
PF0034040/20XEX;20;22/12/2023;05/02/2024;45;
PF0598040/20XEX;50;17/01/2024;05/02/2024;19;
PF0371040/20XEX;50;29/11/2023;15/02/2024;78;
PF0371040/20XEX;60;29/11/2023;15/02/2024;78;
PF0371040/20XEX;100;29/11/2023;15/02/2024;78;
PF0371040/20XEX;60;11/12/2023;15/02/2024;66;
PF0371040/20XEX;100;11/12/2023;16/02/2024;67;
PF0034040/20XEX;40;09/01/2024;16/02/2024;38;
PF0034040/20XEX;40;09/01/2024;16/02/2024;38;
PF0034040/20XEX;40;17/01/2024;16/02/2024;30;
PF0008040/20XEX;100;26/01/2024;19/02/2024;24;
PF0457040/20XEX;100;16/02/2024;19/02/2024;3;
PF0457040/20XEX;50;16/02/2024;21/02/2024;5;
PF0457040/20XEX;50;16/02/2024;21/02/2024;5;
PF0720040/20XEX;30;20/02/2024;04/03/2024;13;
PF0720040/20XEX;60;20/02/2024;04/03/2024;13;
PF0349040/20XEX;50;21/02/2024;06/03/2024;14;
PF0008040/20XEX;40;21/02/2024;07/03/2024;15;
PF0349040/20XEX;50;21/02/2024;07/03/2024;15;
PF0034040/20XEX;15;29/02/2024;18/03/2024;18;
PF0034040/20XEX;15;05/03/2024;19/03/2024;14;
PF0309040/20XEX;20;08/03/2024;21/03/2024;13;
PF0725040/20XEX;50;20/03/2024;26/03/2024;6;
PF0309040/20XEX;20;22/03/2024;27/03/2024;5;
PF0371040/20XEX;11,7299995422363;08/04/2024;15/04/2024;7;
PF0582040/20XEX;50;05/04/2024;18/04/2024;13;
PF0582040/20XEX;50;05/04/2024;18/04/2024;13;
PF0582040/20XEX;50;05/04/2024;18/04/2024;13;
PF0034040/20XEX;40;10/04/2024;19/04/2024;9;
